"FullAddress", "Speed"
"120.52.73.127:8081","109"
"120.52.73.127:8082","112"
"120.52.73.127:8083","100"
"120.52.73.127:8086","106"
"120.52.73.127:8087","99"
"120.52.73.127:8088","106"
"120.52.73.127:8089","106"
"120.52.73.127:8090","104"
"120.52.73.127:8091","106"
"120.52.73.127:8092","100"
"120.52.73.127:8093","100"
"120.52.73.127:8094","105"
"120.52.73.127:8100","110"
"120.52.73.127:90","98"
"120.52.73.128:80","105"
"120.52.73.128:8080","100"
"120.52.73.128:8100","101"
"120.52.73.129:100","114"
"120.52.73.129:80","118"
"120.52.73.129:8080","110"
"120.52.73.129:8081","116"
"120.52.73.129:8082","121"
"120.52.73.129:8083","114"
"120.52.73.129:8086","114"
"120.52.73.129:8087","119"
"120.52.73.129:8088","110"
"120.52.73.129:8089","114"
"120.52.73.129:8090","109"
"120.52.73.129:8092","108"
"120.52.73.129:8093","115"
"120.52.73.129:8094","107"
"120.52.73.129:8100","107"
"120.52.73.130:100","117"
"120.52.73.130:80","113"
"120.52.73.130:8080","115"
"120.52.73.130:8081","120"
"120.52.73.130:8082","120"
"120.52.73.130:8083","113"
"120.52.73.130:8086","117"
"120.52.73.130:8087","119"
"120.52.73.130:8088","115"
"120.52.73.130:8089","117"
"120.52.73.130:8091","116"
"120.52.73.130:8092","115"
"120.52.73.130:8093","112"
"120.52.73.130:8094","113"
"120.52.73.130:90","118"
"120.52.73.131:100","107"
"120.52.73.131:80","104"
"120.52.73.131:8080","106"
"120.52.73.131:8081","101"
"120.52.73.131:8082","107"
"120.52.73.131:8083","101"
"120.52.73.131:8086","100"
"120.52.73.131:8087","101"
"120.52.73.131:8088","101"
"120.52.73.131:8089","105"
"120.52.73.131:8090","107"
"120.52.73.131:8091","102"
"120.52.73.131:8092","105"
"120.52.73.131:8093","103"
"120.52.73.131:8100","104"
"120.52.73.131:90","100"
"120.52.73.132:8091","104"
"120.52.73.133:8088","113"
"120.52.73.134:100","111"
"120.52.73.134:80","115"
"120.52.73.134:8080","117"
"120.52.73.134:8081","115"
"120.52.73.134:8082","115"
"120.52.73.134:8083","114"
"120.52.73.134:8086","111"
"120.52.73.134:8087","113"
"120.52.73.134:8088","115"
"120.52.73.134:8089","111"
"120.52.73.134:8090","114"
"120.52.73.134:8091","113"
"120.52.73.134:8092","111"
"120.52.73.134:8093","112"
"120.52.73.134:8094","115"
"120.52.73.134:8100","115"
"120.52.73.134:90","110"
"120.52.73.135:8083","105"
"120.52.73.135:8088","101"
"120.52.73.136:80","100"
"120.52.73.136:8087","101"
